排名,ASIN编号,商品名称,品牌,评分,评论数,价格(墨西哥比索),月销量估算,销量依据,上架时间,在售月数,变体数量,卖家,卖家类型,卖家所在地,配送方式,商品链接,完整详情
89,B0C6BW1K8R,Raganet，带金属门的宠物笼，可运输重达 5 公斤的小型宠物（50 厘米长 x 30 厘米宽 x 30 厘米高）（黑色）,Raganet,4.5,1140,239.0,1232,评论数推算(评论率2.5%),2023-05-25,37,4,Raga Basics,第三方(墨西哥),墨西哥,FBA,https://www.amazon.com.mx/dp/B0C6BW1K8R,True
90,B071937LW8,礼品 Easy Fit 可调节婴儿安全门，26-42 英寸宽,Regalo,4.5,15702,697.11,26170,"评论数推算(评论率2.5%, 按默认24个月在售)",,,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B071937LW8,True
91,B09WP12B7N,Pedigree - 狗用信封，羊肉片味，含天然成分、蛋白质和纤维，24 个信封，每个 100 克,Pedigree,4.8,769,227.9,603,评论数推算(评论率2.5%),2022-03-28,51,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B09WP12B7N,True
92,B0DQW1YXG5,Feandrea 中型犬床，76 x 51 x 18 厘米，床罩可拆卸可清洗，防水衬里，凸起边缘，浅灰色 MPGW281G01,Feandrea,4.7,388,699.99,1109,评论数推算(评论率2.5%),2025-04-21,14,6,COWIT MX,第三方(墨西哥),墨西哥,FBA,https://www.amazon.com.mx/dp/B0DQW1YXG5,True
93,B07CWD5PX5,Amazon Basics 狗和幼犬用一次性高吸收湿巾，防漏快干，训练用，24 英寸 x 23 英寸（标准），50 片装，蓝色和白色,Amazon Basics,4.6,23600,383.18,39333,"评论数推算(评论率2.5%, 按默认24个月在售)",,,3,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B07CWD5PX5,True
94,B003CLAJ1E,Hill's Science Diet 小型和迷你成人 7 岁以上，老年犬小型和迷你品种炸丸子，鸡肉和糙米味 2 公斤,Hill's Science Diet,4.8,3248,564.0,1274,评论数推算(评论率2.5%),2017-12-05,102,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B003CLAJ1E,True
95,B075NLFVGS,Cesar - 成年犬食品信封，羊肉和蔬菜味，每个 75 克，每包 24 个信封,Cesar,4.8,318,242.0,121,评论数推算(评论率2.5%),2017-09-11,105,2,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B075NLFVGS,True
96,B09NF9NPZ6,Canine Chews 狗零食 100% 牛肉棒 100 片（混合）,Canine Chews,4.6,246,189.0,298,评论数推算(评论率2.5%),2023-09-28,33,6,Tienda Oficial de Canine Chews,品牌方(墨西哥),墨西哥,FBA,https://www.amazon.com.mx/dp/B09NF9NPZ6,True
97,B0CF64R8Y1,多格尔西胃援助。 Pre + 益生菌，含 +30 亿 CFU x 勺。狗的补充剂。炸丸子或呕吐饮食补充剂 270 克（鱼）,Dogelthy,4.6,1154,729.0,1358,评论数推算(评论率2.5%),2023-08-09,34,3,Dogelthy,品牌方(墨西哥),墨西哥,FBA,https://www.amazon.com.mx/dp/B0CF64R8Y1,True
98,B00NLMJ6F4,VIRBAC Nutri-Plus 凝胶营养补充剂 120 克 |狗和猫的兽医用途|能量、维生素和快速恢复|适口凝胶,Virbac,4.8,295,341.0,91,评论数推算(评论率2.5%),2015-09-08,129,1,Miss Rou,第三方(墨西哥),墨西哥,FBA,https://www.amazon.com.mx/dp/B00NLMJ6F4,True
99,B072DXMH22,感谢狗燕麦洗发水 400 毫升，彩色，400 毫升，包/包,Thankful Dog,4.7,2377,89.0,864,评论数推算(评论率2.5%),2017-04-25,110,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B072DXMH22,True
100,B0D38B131P,Peigree - 成年犬健康肚子炸丸子，鲑鱼、火鸡和胡萝卜口味，含蛋白质和益生元纤维的完整狗粮，10 公斤,Pedigree,4.8,162,368.01,259,评论数推算(评论率2.5%),2024-05-03,25,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0D38B131P,True
