排名,ASIN编号,商品名称,品牌,评分,评论数,价格(墨西哥比索),月销量估算,销量依据,上架时间,在售月数,变体数量,卖家,卖家类型,卖家所在地,卖家详细地址,配送方式,商品链接,完整详情
81,B09FFQ4W31,狗狗防水轻便雨衣，可调节斗篷外套，带反光条（黄色，3XL，胸围29.1英寸，身长23.6英寸）,AZULDIMEN,4.4,177,296.1,50,亚马逊官方(上月购买量),9/3/2021,57,12,Azuldimen,品牌方(中国),中国,中国/518112/广东/龙岗/深圳/木棉湾金谷园216/布吉街道木棉湾社区育苗路6号,FBA,https://www.amazon.com.mx/dp/B09FFQ4W31,TRUE
82,B01FVRFC7W,巴克斯培根波浪狗零食，567克,BARKYS,4.8,746,191,700,亚马逊官方(上月购买量),5/19/2016,121,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01FVRFC7W,TRUE
83,B0F7LH8H4R,宠物除毛手套4只装 | 双面（静电+刷子）| 去除狗、猫、沙发和衣物上的毛发 | 宠物除毛手套 | 轻松家居清洁（20×15厘米）,YOKNETIG,4.1,447,174.5,300,亚马逊官方(上月购买量),5/6/2025,13,2,GUANGGUAN,第三方(中国),中国,CN/518129/广东省/深圳市/象角塘坳背窝第四工业区4号厂房201/坂田街道象角塘社区,FBA,https://www.amazon.com.mx/dp/B0F7LH8H4R,TRUE
84,B0CPPN5QD1,Arien狗狗矫形床，大型犬床，狗笼垫，带可拆卸柔软仿皮套，可水洗，防滑底,Arien,4.6,1141,699,200,亚马逊官方(上月购买量),12/28/2023,30,8,Arien Life,品牌方(中国),中国,中国/518111/广东省/龙岗区/深圳市/平湖街道上木古社区平新北路129号C栋311,FBA,https://www.amazon.com.mx/dp/B0CPPN5QD1,TRUE
85,B0F494MVYC,优胜者高级三文鱼狗干粮20公斤,Ganador,4.8,176,1142.83,400,亚马逊官方(上月购买量),4/9/2025,14,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0F494MVYC,TRUE
86,B07GC89BJV,希尔思科学饮食7岁以上老年犬鸡肉米饭味狗粮12kg，助建长期健康基础与健康器官,Hill's Science Diet,4.7,357,1872,500,亚马逊官方(上月购买量),11/24/2022,43,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B07GC89BJV,TRUE
87,B0C6BW1K8R,Raganet宠物运输笼，金属门，承重5公斤以下小型宠物（长50×宽30×高30厘米）（黑色）,Raganet,4.5,1142,239,300,亚马逊官方(上月购买量),5/25/2023,37,4,Raga Basics,第三方(墨西哥),墨西哥,墨西哥/52790/墨西哥/惠克斯基卢坎德德戈亚多/双河/比森特·格雷罗大道,FBA,https://www.amazon.com.mx/dp/B0C6BW1K8R,TRUE
88,B072DXMH22,Thankful Dog燕麦洗发水400毫升，颜色，400毫升，每包,Thankful Dog,4.7,2377,89,600,亚马逊官方(上月购买量),4/25/2017,110,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B072DXMH22,TRUE
89,B0FL4WYCDH,PAW SOME 100%可生物降解狗狗湿巾，纹理设计，清洁更佳，20x20厘米，柔软低敏环保，材质坚固安全，适用所有宠物（3包装）,Compa Wipes,4.8,41,206.9,500,亚马逊官方(上月购买量),8/4/2025,10,1,Zavix Brands,第三方(墨西哥),墨西哥,墨西哥/11500/米格尔·伊达尔戈/墨西哥城/内504/普雷萨·萨利尼利亚斯 370,FBA,https://www.amazon.com.mx/dp/B0FL4WYCDH,TRUE
90,B003CLAJ1E,希尔思科学饮食小型及迷你犬7岁以上老年犬粮，鸡肉糙米味，2公斤,Hill's Science Diet,4.8,3250,564,500,亚马逊官方(上月购买量),12/5/2017,102,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B003CLAJ1E,TRUE
91,B071937LW8,Regalo易装可调节婴儿安全门，宽26-42英寸,Regalo,4.5,15707,697.11,500,亚马逊官方(上月购买量),,,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B071937LW8,TRUE
92,B07RWF8X9P,Arm & Hammer 超级除臭喷雾，适合所有犬只及幼犬，最佳除臭喷雾，猕猴桃花香，8盎司,Arm & Hammer,4.5,14710,88,300,亚马逊官方(上月购买量),1/24/2020,77,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B07RWF8X9P,TRUE
93,B0CPLNZZ2T,LUDOS 湿巾，狗猫日常可用，含芦荟和维生素E，80片装,LUDOS,4.7,484,49,300,亚马逊官方(上月购买量),12/6/2023,30,2,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0CPLNZZ2T,TRUE
94,B0DM71HJ2P,Fancy Pets MS 益生菌 狗猫通用 60片装,Fancy Pets,4.5,292,238.52,400,亚马逊官方(上月购买量),11/6/2024,19,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0DM71HJ2P,TRUE
95,B07BDX6TWS,Perfect Sense 成犬 SB 8kg,Perfect Sense,4.7,843,879,300,亚马逊官方(上月购买量),3/12/2018,99,3,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B07BDX6TWS,TRUE
96,B08JRVB4BH,Minino Plus Recetas 湿粮，金枪鱼碎肉口味，85克，灰色，24包装,LQNQ,4.8,546,240,300,亚马逊官方(上月购买量),9/22/2020,69,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B08JRVB4BH,TRUE
97,B096N1C82L,普瑞纳成年迷你小型犬粮 鸡肉牛肉味 3.5kg,Purina One Dry Perro,4.7,243,285.09,400,亚马逊官方(上月购买量),6/4/2021,60,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B096N1C82L,TRUE
98,B075NLFVH8,宝路DENTASTIX 成年犬零食 7支装 口腔护理 牙齿清洁 对抗牙结石,Pedigree,4.8,568,77,500,亚马逊官方(上月购买量),9/11/2017,105,2,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B075NLFVH8,TRUE
99,B09NF9NPZ6,狗狗奖励牛皮棒 100%牛皮 100支（混合装）,Canine Chews,4.7,248,189,300,亚马逊官方(上月购买量),9/28/2023,33,6,Tienda Oficial de Canine Chews,品牌方(墨西哥),墨西哥,墨西哥/20905/阿瓜斯卡连特斯/赫苏斯玛丽亚/1/查塞拉 100,FBA,https://www.amazon.com.mx/dp/B09NF9NPZ6,TRUE
100,B09Y1RNQXL,宝路 - 小型犬湿粮包，鸡肉味，含天然原料、蛋白质和纤维，24包，每包100克,Pedigree,4.8,620,227.9,1000,亚马逊官方(上月购买量),4/15/2022,50,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B09Y1RNQXL,TRUE
