排名,ASIN编号,商品名称,品牌,评分,评论数,价格(墨西哥比索),月销量估算,销量依据,上架时间,在售月数,变体数量,卖家,卖家类型,卖家所在地,配送方式,商品链接,完整详情
82,B07FXZSFH3,"Nupec Treat Funcional para Perro Training, 0.180 kg, 1 Pack",Nupec,4.8,1304,113.0,549,评论数推算(评论率2.5%),2018-07-26,95,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B07FXZSFH3,True
83,B0DQW1YXG5,"Feandrea Cama para Perros Medianos, 76 x 51 x 18 cm, Funda Extraíble y Lavable, Forro Repelente al Agua, Bordes Elevados, Gris Claro MPGW281G01",Feandrea,4.7,388,699.99,1109,评论数推算(评论率2.5%),2025-04-21,14,5,COWIT MX,第三方(墨西哥),墨西哥,FBA,https://www.amazon.com.mx/dp/B0DQW1YXG5,True
84,B07GC89BJV,"Hill's Science Diet Adult 7+, Croquetas para Perro Senior Sabor Pollo y Arroz 12kg, Alimento para Perro de Edad Avanzada Que Ayuda a Construir Las Bases para la Salud a Largo Plazo y Órganos Sanos.",Hill's Science Diet,4.7,357,1872.0,332,评论数推算(评论率2.5%),2022-11-24,43,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B07GC89BJV,True
85,B07BDX6TWS,PERFECT SENSE ADULTO SB 8 KG,Perfect Sense,4.7,841,879.0,340,评论数推算(评论率2.5%),2018-03-12,99,3,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B07BDX6TWS,True
86,B0D38B131P,"Pedigree - Pancita Saludable Croquetas para Perro Adulto, Sabor Salmón, Pavo y Zanahoria, Alimento Completo para Perro con Proteínas y Fibras Prebióticas, 10 kg",Pedigree,4.8,162,368.01,259,评论数推算(评论率2.5%),2024-05-03,25,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0D38B131P,True
87,B071937LW8,"Regalo Easy Fit Adjustable Baby Safety Gate, 26-42 inches wide",Regalo,4.5,15700,697.11,26167,"评论数推算(评论率2.5%, 按默认24个月在售)",,,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B071937LW8,True
88,B0B31M9JGB,"TAIMEI Bolsas para desechos de mascotas, 25 rollos en 375 piezas, Desechable portátil para caminar y viajar al aire libre,bolsa de limpieza montada en el vehículo.(Negro)",TAIMEI,4.0,919,161.1,1532,"评论数推算(评论率2.5%, 按默认24个月在售)",,,2,DANPIPI,第三方(中国),中国,FBA,https://www.amazon.com.mx/dp/B0B31M9JGB,True
89,B00NLMJ6F4,"VIRBAC Nutri-Plus Gel Suplemento Nutricional 120 g | Uso Veterinario para Perros y Gatos | Energía, Vitaminas y Recuperación Rápida | Gel Palatable",Virbac,4.8,295,341.0,91,评论数推算(评论率2.5%),2015-09-08,129,1,Miss Rou,第三方(墨西哥),墨西哥,FBA,https://www.amazon.com.mx/dp/B00NLMJ6F4,True
90,B003CLAJ1E,"Hill's Science Diet Small & Mini Adult 7+, Croquetas para Perro Senior Razas Pequeña Y Mini, Sabor Pollo Y Arroz Integral 2Kg",Hill's Science Diet,4.8,3248,564.0,1274,评论数推算(评论率2.5%),2017-12-05,102,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B003CLAJ1E,True
91,B075NLFVGS,"Cesar - Sobres de Alimento para Perros Adultos, Sabor Cordero y Vegetales, 75g c/u., Paquete de 24 Sobres",Cesar,4.8,318,242.0,121,评论数推算(评论率2.5%),2017-09-11,105,2,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B075NLFVGS,True
92,B0GKFXLRDQ,Bandana para Perro con diseño Oficial FIFA – Grande,PET MOMENT,3.5,,79.0,,,2026-03-31,2,3,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0GKFXLRDQ,True
93,B09KQVCC67,Destructor De Orina Plus Perro 946 Ml,Nature's Miracle,4.4,3940,313.0,2865,评论数推算(评论率2.5%),2021-11-01,55,3,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B09KQVCC67,True
94,B01EY98NDS,"Nupec alimento para Perros, Sensitive, Control de alergias, presentación de 15 kg.",Nupec,4.8,2248,2099.0,743,评论数推算(评论率2.5%),2016-05-18,121,1,Amikoo Peek,第三方(墨西哥),墨西哥,FBA,https://www.amazon.com.mx/dp/B01EY98NDS,True
95,B0C6YPYBMR,"Grisi Pet Care, Repelente de Orina, 490 ml",Thankful Dog,3.9,153,89.0,170,评论数推算(评论率2.5%),2023-06-02,36,1,ITyR,第三方(墨西哥),墨西哥,FBM,https://www.amazon.com.mx/dp/B0C6YPYBMR,True
96,B0DL98VSFP,"540 Bolsas para Popo de Perro Biodegradables en 36 Rollos con Dispensador y Clip, Bolsas para Desechos de Mascotas, Bolsas para Excremento de Perros Portátil, Olor a Lavanda",ESRAIN,4.8,278,298.0,463,"评论数推算(评论率2.5%, 按默认24个月在售)",,,1,ESRAIN,品牌方(中国),中国,FBA,https://www.amazon.com.mx/dp/B0DL98VSFP,True
97,B0FN2WXY5M,"270 Bolsas para Popo de Perro Biodegradables en 18 Rollos con Dispensador y Clip, Bolsas para Desechos de Mascotas, Bolsas para Excremento de Perros Portátil, Olor a Lavanda",ESRAIN,4.8,73,198.0,122,"评论数推算(评论率2.5%, 按默认24个月在售)",,,1,ESRAIN,品牌方(中国),中国,FBA,https://www.amazon.com.mx/dp/B0FN2WXY5M,True
98,B0DM71HJ2P,Fancy Pets MS Probióticos para Perros y Gatos con 60 Tabletas,Fancy Pets,4.5,290,120.0,611,评论数推算(评论率2.5%),2024-11-06,19,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0DM71HJ2P,True
99,B0C6BW1K8R,"Raganet, Jaula Transportadora para Mascotas con Puerta de Metal, Transporta Mascotas Pequeñas de hasta 5 Kg (50cm Largo X 30cm Ancho X 30cm Alto) (Negro)",Raganet,4.5,1140,239.0,1232,评论数推算(评论率2.5%),2023-05-25,37,4,Raga Basics,第三方(墨西哥),墨西哥,FBA,https://www.amazon.com.mx/dp/B0C6BW1K8R,True
100,B0CPPN5QD1,"Arien Cama Ortopédica para Perros, Cama para Perro Grandes, Almohadillas para Jaulas de Perros con Funda extraíble y Suave Piel sintética, Cama Lavable para Perro Grandes con Fondo Antideslizante",Arien,4.6,1139,699.0,1519,评论数推算(评论率2.5%),2023-12-28,30,8,Arien Life,品牌方(中国),中国,FBA,https://www.amazon.com.mx/dp/B0CPPN5QD1,True
