排名,ASIN编号,商品名称,品牌,评分,评论数,价格(墨西哥比索),月销量估算,销量依据,上架时间,在售月数,变体数量,卖家,卖家类型,卖家所在地,卖家详细地址,配送方式,商品链接,完整详情
81,B0CF64R8Y1,Dogelthy Gastro Aid. Pre + Probioticos con +3 Billones de UFC x Scoop. Suplemento para Perros. Complemento para Croquetas o Dieta Barf de 270g (Pescado),Dogelthy,4.6,1158,619.0,300,亚马逊官方(上月购买量),2023-08-09,35,3,Dogelthy,品牌方(墨西哥),墨西哥,MX/45019/JALISCO/Zapopan/San Juan de Ocotan/5 de Mayo #15 Interior 6,FBA,https://www.amazon.com.mx/dp/B0CF64R8Y1,True
82,B002Q7SZ2A,"Gamma2 Vittles Vault, Contenedor para Alimento de mascotas, 16 kg -Mocha Granite",Gamma2,4.7,72695,707.87,400,亚马逊官方(上月购买量),2012-09-05,166,3,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B002Q7SZ2A,True
83,B0CSTG692R,"Fancy Pets Tapete Refrescante para Perros Grande Aqua Cool | Autoenfriante, Portátil y No Tóxico | Uso Interior y Exterior",Fancy Pets,4.3,939,295.2,300,亚马逊官方(上月购买量),2024-01-19,29,5,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0CSTG692R,True
84,B01BKECCNM,"Hill's Science Diet Adult Healthy Cuisine, Alimento Húmedo para Perro Adulto en Lata, Sabor Pollo Asado, 12 Pack de 354g Cada uno, Comida para Perro Que Apoya la Piel Sana y el Sistema Inmune",Hill's Science Diet,4.6,1008,983.25,200,亚马逊官方(上月购买量),2016-03-07,124,5,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01BKECCNM,True
85,B0DW5GCZPX,HI MULTI PRO Alimento Premium para Perro Adulto Razas PEQUEÑAS,HI MULTI PRO,4.7,233,560.0,500,亚马逊官方(上月购买量),2025-02-05,17,1,ALBAPESA,第三方(墨西哥),墨西哥,MX/36900/GUANAJUATO/PENJAMO/KM 63 CARRETERA IRAPUATO - LA PIEDAD,FBA,https://www.amazon.com.mx/dp/B0DW5GCZPX,True
86,B01MDKAB0R,"Nupec PENU7137 - AAAAAA Premio para Perros Joint Care, 180 Gr (El empaque puede variar)",Nupec,4.8,746,85.0,600,亚马逊官方(上月购买量),2016-10-10,117,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01MDKAB0R,True
87,B071937LW8,"Regalo Easy Fit Adjustable Baby Safety Gate, 26-42 inches wide",Regalo,4.5,15729,559.55,600,亚马逊官方(上月购买量),,,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B071937LW8,True
88,B0CG33JYQC,"Pechera Arnés De Seguridad para Perro Chico Mediano Y Grande con Correa 1.5m (Fuscia, M)",UNA MASCOTA,4.6,1253,192.72,3071,评论数推算(评论率1.2%),2023-08-19,34,64,COMERSTAT,第三方(墨西哥),墨西哥,MX/06000/CIUDAD DE MEXICO/CIUDAD DE MEXICO/CENTRO (AREA 1)/EJE CENTRAL LAZARO CARDENAS 119 LOC 2 3,FBA,https://www.amazon.com.mx/dp/B0CG33JYQC,True
89,B09NF9NPZ6,Canine Chews Premios para Perro Palitos De Carnaza 100% Res 100 Piezas (Mixto),Canine Chews,4.6,250,148.0,300,亚马逊官方(上月购买量),2023-09-28,33,6,Tienda Oficial de Canine Chews,品牌方(墨西哥),墨西哥,MX/20905/AGUASCALIENTES/JESUS MARIA/1/CHASELA 100,FBA,https://www.amazon.com.mx/dp/B09NF9NPZ6,True
90,B07G8WH4G7,"BARKYS Mini Salchichitas/Mini Sausages, 3 Pack de 100g",BARKYS,4.8,704,71.0,200,亚马逊官方(上月购买量),2018-08-08,95,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B07G8WH4G7,True
91,B07CDSQMTY,"Hill's Science Diet, Croquetas para Perro Adulto Sabor Pollo 15 kg, Ayuda a Construir Las Bases para la Salud a Largo Plazo, Piel y Pelaje Sanos",Hill's Science Diet,4.8,183,1566.55,300,亚马逊官方(上月购买量),2022-11-24,43,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B07CDSQMTY,True
92,B00G8FX1FM,"Best Pet Supplies - Juguete Divertido para Perro sin Relleno, 2 en 1, diseño de Pato Salvaje, Grande",Best Pet Supplies,4.4,25422,185.65,50,亚马逊官方(上月购买量),2013-12-31,150,12,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B00G8FX1FM,True
93,B08WLPDWV6,"Barkys Biscuit premios para Perro con Omega 3 Y 6, 2.5 kg",Cowjag,4.8,951,285.0,900,亚马逊官方(上月购买量),2021-02-15,64,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B08WLPDWV6,True
94,B08B2N1WJQ,Medical Solutions Collar Isabelino Ajustable para Perros y Gatos Fancy Pets – Protección Postoperatoria para Evitar Lamer y Rascar Heridas – Talla 0 (18 cm),Fancy Pets,4.4,3026,60.0,50,亚马逊官方(上月购买量),2020-06-11,73,11,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B08B2N1WJQ,True
95,B0B45BW58F,"Raganet, Mochila Transportadora de Mascotas, Perros y Gatos, Back Pack Portátil para Mascota Pequeña (Máximo 7Kg) Medidas: Ancho 23cm Largo 33cm Altura 42cm (Color Negro)",Raganet,4.6,3042,219.0,600,亚马逊官方(上月购买量),2022-06-15,48,3,Raga Basics,第三方(墨西哥),墨西哥,MX/52790/MEXICO/HUIXQUILUCAN DE DEGOLLADO/Dos Rios/Avenida Vicente Guerrero,FBA,https://www.amazon.com.mx/dp/B0B45BW58F,True
96,B0B84V22ZJ,"RENDIN 255 Bolsas para Perro Biodegradables,Prueba de Fugas y Fragante Bolsitas para Perro,17 Rollos + 1 Dispensador+1 Clip",RENDIN,4.8,1728,175.12,400,亚马逊官方(上月购买量),,,4,L-JL,第三方(中国),中国,"CN/518129/Guangdong/Longgang/shenzhen/Room 203, Building 21/The Third Industrial Zone, Bantian Community, Bantian Street",FBA,https://www.amazon.com.mx/dp/B0B84V22ZJ,True
97,B0D81FN4SQ,Alimento humedo para Perro Ganador Premium Cachorro Higado & Pavo,Ganador,4.5,55,187.0,300,亚马逊官方(上月购买量),2024-06-25,24,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0D81FN4SQ,True
98,B01MDKA37K,"Nupec Premio para Perros Digestive Care, 180 Gr (El empaque Puede Variar)",Nupec,4.8,793,85.0,600,亚马逊官方(上月购买量),2016-11-02,116,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01MDKA37K,True
99,B0F96F3XWF,"King Dog & Cat Tapetes Entrenadores para Perros Clean Pet, 40 Piezas, 60 x 60 cm, 6 Capas Máxima Absorción e Higiene para Perros",King Dog & Cat,4.7,8,275.0,800,亚马逊官方(上月购买量),,,1,Zeitex,第三方,,,FBA,https://www.amazon.com.mx/dp/B0F96F3XWF,True
100,B01A1DJ4GG,Purina Beneful Adulto Raza Minis Sabor Carne 4Kg,Purina,4.8,1465,249.0,500,亚马逊官方(上月购买量),2015-12-31,126,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01A1DJ4GG,True
