排名,ASIN编号,商品名称,品牌,评分,评论数,价格(墨西哥比索),月销量估算,销量依据,上架时间,在售月数,变体数量,卖家,卖家类型,卖家所在地,卖家详细地址,配送方式,商品链接,完整详情
91,B07CDSQMTY,希尔思科学膳食 成犬鸡肉味狗粮 15公斤 有助于建立长期健康基础 健康皮肤与被毛,Hill's Science Diet,4.8,183,1566.55,300,亚马逊官方(上月购买量),2022-11-24,43,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B07CDSQMTY,True
92,B00G8FX1FM,Best Pet Supplies - 趣味无填充狗玩具，2合1，野鸭造型，大号,Best Pet Supplies,4.4,25422,185.65,50,亚马逊官方(上月购买量),2013-12-31,150,12,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B00G8FX1FM,True
93,B08WLPDWV6,Barkys狗用饼干零食，含Omega-3和Omega-6，2.5kg,Cowjag,4.8,951,285.0,900,亚马逊官方(上月购买量),2021-02-15,64,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B08WLPDWV6,True
94,B08B2N1WJQ,Medical Solutions 可调节伊丽莎白圈 术后防舔挠伤口 适用猫狗 尺码0（18厘米）,Fancy Pets,4.4,3026,60.0,50,亚马逊官方(上月购买量),2020-06-11,73,11,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B08B2N1WJQ,True
95,B0B45BW58F,Raganet 宠物运输背包，适用于猫狗等小型宠物（最大7公斤），尺寸：宽23cm 长33cm 高42cm，黑色,Raganet,4.6,3042,219.0,600,亚马逊官方(上月购买量),2022-06-15,48,3,Raga Basics,第三方,,,FBA,https://www.amazon.com.mx/dp/B0B45BW58F,True
96,B0B84V22ZJ,RENDIN 255 可生物降解狗狗粪便袋，防漏芳香，17卷+1个分配器+1个夹子,RENDIN,4.8,1728,175.12,400,亚马逊官方(上月购买量),,,4,L-JL,第三方(中国),中国,中国/518129/广东/龙岗/深圳/21栋203室/坂田街道坂田社区第三工业区,FBA,https://www.amazon.com.mx/dp/B0B84V22ZJ,True
97,B0D81FN4SQ,胜者Premium幼犬湿粮（肝&火鸡）,Ganador,4.5,55,187.0,300,亚马逊官方(上月购买量),2024-06-25,24,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0D81FN4SQ,True
98,B01MDKA37K,Nupec Premio 狗用消化护理零食，180克（包装可能不同）,Nupec,4.8,793,85.0,600,亚马逊官方(上月购买量),2016-11-02,116,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01MDKA37K,True
99,B0F96F3XWF,King Dog & Cat Clean Pet 狗狗训练垫，40片，60x60厘米，6层超强吸收，卫生洁净,King Dog & Cat,4.7,8,275.0,800,亚马逊官方(上月购买量),,,1,Zeitex,第三方(墨西哥),墨西哥,墨西哥/52764/墨西哥/惠克斯基卢坎德德戈利亚多/赫苏斯德尔蒙特大道 39 2楼B室 赫苏斯德尔蒙特,FBA,https://www.amazon.com.mx/dp/B0F96F3XWF,True
100,B01A1DJ4GG,Purina Beneful 成年小型犬牛肉味狗粮 4公斤,Purina,4.8,1465,249.0,500,亚马逊官方(上月购买量),2015-12-31,126,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01A1DJ4GG,True
